Time	Amplitude
0.00000	6.31882
0.01000	-6.48484
0.02000	2.92336
0.03000	0.48755
0.04000	-1.54715
0.05000	-4.09745
0.06000	-3.11920
0.07000	-10.47350
0.08000	-2.90430
0.09000	-0.62118
0.10000	5.98150
0.11000	-2.68914
0.12000	-0.71600
0.13000	-0.14255
0.14000	-1.24113
0.15000	-2.20476
0.16000	1.32546
0.17000	2.33455
0.18000	-5.43910
0.19000	-2.52550
0.20000	-0.44311
0.21000	-4.77651
0.22000	-6.71789
0.23000	2.28475
0.24000	7.59119
0.25000	4.86188
0.26000	-0.45025
0.27000	3.79204
0.28000	0.01532
0.29000	7.27429
0.30000	6.93375
0.31000	-5.17790
0.32000	-5.74633
0.33000	3.11919
0.34000	-1.27048
0.35000	4.70390
0.36000	5.04213
0.37000	0.50420
0.38000	-3.42843
0.39000	-4.30797
0.40000	-5.17556
0.41000	-3.23907
0.42000	4.28397
0.43000	7.24374
0.44000	-0.96760
0.45000	3.67653
0.46000	-6.21066
0.47000	-1.22102
0.48000	-1.43451
0.49000	4.51207
0.50000	2.24138
0.51000	2.87824
0.52000	-3.57840
0.53000	3.20168
0.54000	8.42940
0.55000	5.07439
0.56000	-4.33476
0.57000	-4.72155
0.58000	3.56515
0.59000	-4.56817
0.60000	0.24941
0.61000	-2.53296
0.62000	-1.30257
0.63000	0.56922
0.64000	-2.80916
0.65000	-5.07985
0.66000	-0.42295
0.67000	-4.23559
0.68000	-1.42073
0.69000	1.04177
0.70000	-5.76641
0.71000	-6.43124
0.72000	0.07807
0.73000	1.97237
0.74000	-5.58780
0.75000	-0.62121
0.76000	1.29282
0.77000	-0.37772
0.78000	-3.84356
0.79000	-1.00076
0.80000	-0.54399
0.81000	-7.03979
0.82000	-9.36490
0.83000	-4.76379
0.84000	-7.94755
0.85000	2.37085
0.86000	2.57340
0.87000	-9.19262
0.88000	-0.12768
0.89000	6.60343
0.90000	-2.97995
0.91000	0.98958
0.92000	-4.26198
0.93000	7.20532
0.94000	1.49919
0.95000	1.86447
0.96000	-5.26627
0.97000	-8.70500
0.98000	5.51208
0.99000	-0.05329
1.00000	4.84636
1.01000	6.73853
1.02000	-1.21733
1.03000	-0.90474
1.04000	-9.01639
1.05000	7.31183
1.06000	3.97568
1.07000	-7.08958
1.08000	12.03140
1.09000	0.41320
1.10000	-6.17335
1.11000	-4.19245
1.12000	-4.60996
1.13000	-1.63582
1.14000	-1.60751
1.15000	1.96410
1.16000	-3.03885
1.17000	6.27052
1.18000	3.61447
1.19000	2.03153
1.20000	5.65684
1.21000	8.92850
1.22000	3.07568
1.23000	5.62269
1.24000	-4.27859
1.25000	4.03176
1.26000	12.35690
1.27000	8.29425
1.28000	-1.03219
1.29000	0.08522
1.30000	0.66288
1.31000	-4.82485
1.32000	-0.46772
1.33000	7.32372
1.34000	6.08107
1.35000	7.34923
1.36000	-7.41789
1.37000	-0.34203
1.38000	6.05323
1.39000	-1.72879
1.40000	-0.87659
1.41000	0.56650
1.42000	-2.01817
1.43000	-1.20825
1.44000	0.82857
1.45000	-4.02177
1.46000	8.84746
1.47000	3.52187
1.48000	10.30400
1.49000	-0.74931
1.50000	-6.13967
1.51000	5.88080
1.52000	-5.54623
1.53000	0.31557
1.54000	-4.58359
1.55000	6.11662
1.56000	-5.19141
1.57000	-3.94229
1.58000	-4.89304
1.59000	-3.14632
1.60000	3.95253
1.61000	5.38136
1.62000	-4.74177
1.63000	4.26562
1.64000	1.38686
1.65000	-1.61461
1.66000	4.37107
1.67000	-0.13471
1.68000	0.14842
1.69000	-2.02722
1.70000	-11.31090
1.71000	-8.12916
1.72000	-4.82579
1.73000	0.09556
1.74000	-2.04124
1.75000	0.12327
1.76000	0.24657
1.77000	-1.66884
1.78000	1.24919
1.79000	-4.94830
1.80000	-1.82702
1.81000	-0.42553
1.82000	-3.70042
1.83000	-1.75809
1.84000	-1.78062
1.85000	-1.88530
1.86000	-5.60988
1.87000	-7.66489
1.88000	1.56573
1.89000	-6.33202
1.90000	-1.80860
1.91000	-8.92074
1.92000	-5.14423
1.93000	-8.24690
1.94000	-2.72992
1.95000	-1.14472
1.96000	0.76235
1.97000	3.76425
1.98000	3.62060
1.99000	-2.63577
2.00000	0.84029
2.01000	-7.39660
2.02000	-8.16891
2.03000	4.56054
2.04000	7.02014
2.05000	3.34208
2.06000	-4.24102
2.07000	-0.67942
2.08000	3.27140
2.09000	5.07579
2.10000	1.94565
2.11000	-7.01063
2.12000	7.31849
2.13000	-2.71462
2.14000	-5.41115
2.15000	0.73639
2.16000	-4.83814
2.17000	-0.19556
2.18000	1.45144
2.19000	-0.43409
2.20000	11.14660
2.21000	-0.20945
2.22000	5.38634
2.23000	-0.48173
2.24000	8.99067
2.25000	0.37158
2.26000	-1.90500
2.27000	6.40922
2.28000	3.43383
2.29000	5.98681
2.30000	6.96103
2.31000	-7.72236
2.32000	-0.58344
2.33000	2.43658
2.34000	-1.20812
2.35000	-0.42063
2.36000	-4.35196
2.37000	11.02330
2.38000	3.22331
2.39000	-3.34252
2.40000	1.12503
2.41000	-5.10909
2.42000	2.12293
2.43000	-0.48258
2.44000	-0.82356
2.45000	-3.13598
2.46000	-1.18594
2.47000	-5.33270
2.48000	0.56490
2.49000	-4.02022
2.50000	-5.43953
2.51000	-2.21439
2.52000	3.15689
2.53000	-0.00470
2.54000	-3.39297
2.55000	-2.75312
2.56000	-3.72594
2.57000	-1.34292
2.58000	4.00207
2.59000	-2.44636
2.60000	-12.19530
2.61000	9.43919
2.62000	-0.85048
2.63000	0.09497
2.64000	-6.55090
2.65000	4.55035
2.66000	10.37670
2.67000	0.52912
2.68000	1.86873
2.69000	-3.76908
2.70000	-2.62749
2.71000	-9.08544
2.72000	0.79129
2.73000	-5.26567
2.74000	-9.38143
2.75000	6.67076
2.76000	4.20930
2.77000	-2.25511
2.78000	-0.92480
2.79000	-3.85708
2.80000	-4.94983
2.81000	2.55909
2.82000	-0.46022
2.83000	-6.00022
2.84000	-4.19170
2.85000	0.42833
2.86000	12.99650
2.87000	-4.25045
2.88000	-4.39456
2.89000	-10.08760
2.90000	2.72669
2.91000	-3.76873
2.92000	5.68932
2.93000	0.30053
2.94000	-4.75970
2.95000	-3.31806
2.96000	5.72343
2.97000	-3.22302
2.98000	4.50472
2.99000	-0.99035
3.00000	2.75933
3.01000	-3.25477
3.02000	1.55340
3.03000	3.19411
3.04000	0.52908
3.05000	1.43964
3.06000	2.80143
3.07000	1.17181
3.08000	3.54553
3.09000	4.43183
3.10000	-1.44112
3.11000	-1.18490
3.12000	4.01207
3.13000	4.97734
3.14000	1.90582
3.15000	5.94143
3.16000	-3.73347
3.17000	-2.45678
3.18000	5.91568
3.19000	2.64506
3.20000	0.86064
3.21000	1.89435
3.22000	10.07310
3.23000	-9.50095
3.24000	4.91635
3.25000	3.54295
3.26000	3.06698
3.27000	0.04048
3.28000	6.67430
3.29000	-0.18786
3.30000	-11.66460
3.31000	-0.82148
3.32000	3.44226
3.33000	-3.18052
3.34000	15.35540
3.35000	6.28028
3.36000	0.62944
3.37000	5.44702
3.38000	-2.89900
3.39000	-0.41971
3.40000	3.77656
3.41000	2.09409
3.42000	5.27103
3.43000	0.25060
3.44000	-2.26469
3.45000	-8.59168
3.46000	-0.59193
3.47000	-2.42922
3.48000	2.66561
3.49000	1.94907
3.50000	-9.12323
3.51000	9.01137
3.52000	-10.87630
3.53000	5.67993
3.54000	9.48973
3.55000	-7.08968
3.56000	-2.01342
3.57000	-5.56157
3.58000	-10.77610
3.59000	-5.01243
3.60000	1.03465
3.61000	-6.77808
3.62000	0.23081
3.63000	-0.45886
3.64000	10.01770
3.65000	-2.85489
3.66000	-3.96166
3.67000	5.23588
3.68000	-3.05923
3.69000	9.12440
3.70000	4.57874
3.71000	-4.42250
3.72000	1.79528
3.73000	-7.09632
3.74000	11.06330
3.75000	-3.16317
3.76000	-3.04461
3.77000	2.36695
3.78000	-1.37740
3.79000	-5.09720
3.80000	-1.93760
3.81000	-2.21184
3.82000	-9.66185
3.83000	5.21564
3.84000	-4.24923
3.85000	-6.35181
3.86000	-1.37020
3.87000	-2.18466
3.88000	-13.99280
3.89000	-8.82414
3.90000	-1.05554
3.91000	-3.63036
3.92000	-3.60848
3.93000	-6.17365
3.94000	10.25060
3.95000	-3.78421
3.96000	-3.17106
3.97000	5.68356
3.98000	-0.98864
3.99000	-4.57929
4.00000	-11.79050
4.01000	5.13674
4.02000	7.67085
4.03000	-8.98895
4.04000	-3.26358
4.05000	-4.20525
4.06000	7.41828
4.07000	-7.44725
4.08000	-0.03445
4.09000	-2.79746
4.10000	4.49838
4.11000	0.15872
4.12000	-7.93939
4.13000	-10.35370
4.14000	5.41585
4.15000	5.45055
4.16000	2.29204
4.17000	0.75555
4.18000	12.77440
4.19000	-5.41325
4.20000	-7.42233
4.21000	6.92381
4.22000	-1.19369
4.23000	-0.97997
4.24000	0.93235
4.25000	3.92883
4.26000	2.32677
4.27000	2.76466
4.28000	1.72844
4.29000	0.30992
4.30000	-2.89326
4.31000	-5.12989
4.32000	0.17023
4.33000	-2.41891
4.34000	7.15784
4.35000	5.93258
4.36000	-2.90396
4.37000	0.90314
4.38000	-5.29789
4.39000	5.36376
4.40000	-0.28782
4.41000	-6.53541
4.42000	5.65491
4.43000	-1.72991
4.44000	8.50653
4.45000	3.26267
4.46000	5.35468
4.47000	1.94416
4.48000	4.82080
4.49000	1.75807
4.50000	-1.16119
4.51000	-8.06326
4.52000	-7.70233
4.53000	-2.04681
4.54000	-6.37812
4.55000	-1.35849
4.56000	-5.11783
4.57000	-8.55299
4.58000	3.85919
4.59000	-0.91004
4.60000	-4.40695
4.61000	-4.96986
4.62000	7.10581
4.63000	0.23972
4.64000	-1.34305
4.65000	-0.75140
4.66000	3.07135
4.67000	-2.05306
4.68000	-4.59873
4.69000	5.79283
4.70000	1.56709
4.71000	4.86949
4.72000	1.79119
4.73000	9.33696
4.74000	4.26666
4.75000	2.24077
4.76000	-4.99172
4.77000	4.11933
4.78000	-4.16254
4.79000	3.31988
4.80000	1.99724
4.81000	4.11087
4.82000	3.36610
4.83000	0.59038
4.84000	1.16125
4.85000	-3.25564
4.86000	-4.69968
4.87000	-10.42710
4.88000	-0.42168
4.89000	-1.32432
4.90000	-1.87809
4.91000	-3.16699
4.92000	0.07475
4.93000	8.49523
4.94000	7.85560
4.95000	1.45629
4.96000	-3.52890
4.97000	3.39472
4.98000	1.51353
4.99000	-0.74619
5.00000	2.76770
5.01000	2.92150
5.02000	-4.89253
5.03000	4.21341
5.04000	-2.33566
5.05000	4.69580
5.06000	2.74725
5.07000	4.82740
5.08000	-4.65621
5.09000	4.61616
5.10000	-4.19459
5.11000	2.32967
5.12000	-0.63948
5.13000	-6.83453
5.14000	-4.30425
5.15000	-0.29596
5.16000	-1.54712
5.17000	2.25643
5.18000	-4.62916
5.19000	4.62718
5.20000	7.55080
5.21000	-3.33463
5.22000	2.66400
5.23000	2.64705
5.24000	-0.68241
5.25000	2.38312
5.26000	7.30592
5.27000	7.67263
5.28000	8.58221
5.29000	-1.78348
5.30000	-3.05085
5.31000	-9.05561
5.32000	-4.06538
5.33000	0.04394
5.34000	1.20709
5.35000	-6.79526
5.36000	7.90560
5.37000	6.56179
5.38000	0.85825
5.39000	4.40393
5.40000	-2.49558
5.41000	4.79919
5.42000	-1.82193
5.43000	-7.56011
5.44000	-7.25929
5.45000	4.01989
5.46000	-6.87932
5.47000	-4.08040
5.48000	2.15300
5.49000	10.55850
5.50000	8.65733
5.51000	5.48381
5.52000	-4.97500
5.53000	4.79382
5.54000	-2.73875
5.55000	5.91797
5.56000	5.25476
5.57000	0.27671
5.58000	7.86383
5.59000	-1.79055
5.60000	-1.63205
5.61000	-5.26950
5.62000	6.83409
5.63000	-8.55238
5.64000	5.00246
5.65000	0.93230
5.66000	-0.67977
5.67000	7.55541
5.68000	-3.63162
5.69000	6.10981
5.70000	-5.47765
5.71000	-2.68251
5.72000	-2.28052
5.73000	-2.54687
5.74000	-2.64274
5.75000	1.53063
5.76000	2.07633
5.77000	-5.98191
5.78000	-3.03784
5.79000	-4.93566
5.80000	-6.77277
5.81000	-4.88079
5.82000	-0.80760
5.83000	-0.44693
5.84000	-1.75862
5.85000	2.92838
5.86000	1.24611
5.87000	-4.63866
5.88000	6.40537
5.89000	2.05544
5.90000	-4.80229
5.91000	-2.69450
5.92000	7.12391
5.93000	-0.84749
5.94000	-1.71486
5.95000	0.93442
5.96000	-2.15108
5.97000	0.12200
5.98000	2.28095
5.99000	1.82517
6.00000	-7.01548
6.01000	-1.90662
6.02000	2.58372
6.03000	-2.27760
6.04000	-4.45028
6.05000	-7.69320
6.06000	-6.81391
6.07000	-0.30057
6.08000	7.94192
6.09000	1.93667
6.10000	2.12514
6.11000	3.54524
6.12000	-4.20809
6.13000	0.63082
6.14000	-0.42562
6.15000	0.56654
6.16000	-2.56183
6.17000	2.29090
6.18000	2.06074
6.19000	3.76860
6.20000	9.70444
6.21000	3.46804
6.22000	-1.48334
6.23000	-0.86848
