Time	Amplitude
0.00000	0.00000
0.01000	1.90592
0.02000	1.15505
0.03000	-1.20564
0.04000	-1.88539
0.05000	0.06279
0.06000	1.92269
0.07000	1.10222
0.08000	-1.25380
0.09000	-1.86116
0.10000	0.12533
0.11000	1.93562
0.12000	1.04737
0.13000	-1.29932
0.14000	-1.83335
0.15000	0.18738
0.16000	1.94467
0.17000	0.99069
0.18000	-1.34204
0.19000	-1.80205
0.20000	0.24869
0.21000	1.94979
0.22000	0.93243
0.23000	-1.38178
0.24000	-1.76740
0.25000	0.30902
0.26000	1.95098
0.27000	0.87281
0.28000	-1.41838
0.29000	-1.72952
0.30000	0.36813
0.31000	1.94822
0.32000	0.81206
0.33000	-1.45171
0.34000	-1.68857
0.35000	0.42578
0.36000	1.94152
0.37000	0.75042
0.38000	-1.48163
0.39000	-1.64471
0.40000	0.48175
0.41000	1.93091
0.42000	0.68815
0.43000	-1.50802
0.44000	-1.59811
0.45000	0.53583
0.46000	1.91644
0.47000	0.62548
0.48000	-1.53078
0.49000	-1.54896
0.50000	0.58779
0.51000	1.89815
0.52000	0.56266
0.53000	-1.54981
0.54000	-1.49745
0.55000	0.63742
0.56000	1.87613
0.57000	0.49993
0.58000	-1.56505
0.59000	-1.44378
0.60000	0.68455
0.61000	1.85046
0.62000	0.43756
0.63000	-1.57644
0.64000	-1.38817
0.65000	0.72897
0.66000	1.82124
0.67000	0.37578
0.68000	-1.58392
0.69000	-1.33084
0.70000	0.77051
0.71000	1.78858
0.72000	0.31483
0.73000	-1.58747
0.74000	-1.27200
0.75000	0.80902
0.76000	1.75262
0.77000	0.25497
0.78000	-1.58707
0.79000	-1.21190
0.80000	0.84433
0.81000	1.71350
0.82000	0.19641
0.83000	-1.58274
0.84000	-1.15077
0.85000	0.87631
0.86000	1.67137
0.87000	0.13940
0.88000	-1.57447
0.89000	-1.08885
0.90000	0.90483
0.91000	1.62639
0.92000	0.08416
0.93000	-1.56231
0.94000	-1.02638
0.95000	0.92978
0.96000	1.57875
0.97000	0.03091
0.98000	-1.54631
0.99000	-0.96362
1.00000	0.95106
1.01000	1.52863
1.02000	-0.02015
1.03000	-1.52652
